statement,perfectionism,fear_of_failure,lack_of_interest,environment_distraction,dopamine_addiction
I avoid starting tasks that might expose my weaknesses,0,1,0,0,0
I delay tasks when I feel uncertain about success,0,1,0,0,0
I delay tasks because I want them to be done perfectly,1,0,0,0,0
I delay work because my surroundings are distracting,0,0,0,1,0
I delay work because I find it boring,0,0,1,0,0
I delay work to watch another episode,0,0,0,0,1
I delay work because the task does not interest me,0,0,1,0,0
I postpone tasks because my environment is distracting,0,0,0,1,0
I spend too much time planning instead of executing,1,0,0,0,0
I start working but get distracted by social media,0,0,0,1,0
I avoid starting tasks that might expose my weaknesses,0,1,0,0,0
I keep checking short videos instead of focusing,0,0,0,0,1
I get pulled into social media instead of working,0,0,0,0,1
I avoid tasks that seem repetitive and uninteresting,0,0,1,0,0
I keep avoiding this task because it feels boring,0,0,1,0,0
I delay tasks due to fear of negative evaluation,0,1,0,0,0
I put off assignments because I fear poor results,0,1,0,0,0
I spend time on instant entertainment instead of tasks,0,0,0,0,1
I spend time on instant entertainment instead of tasks,0,0,0,0,1
I delay work because I find it boring,0,0,1,0,0
I lose focus due to noise around me,0,0,0,1,0
I postpone tasks because my environment is distracting,0,0,0,1,0
I overthink details before even starting the task,1,0,0,0,0
I ignore tasks that feel monotonous,0,0,1,0,0
I delay work because the task does not interest me,0,0,1,0,0
I ignore tasks that feel monotonous,0,0,1,0,0
I keep avoiding this task because it feels boring,0,0,1,0,0
I keep avoiding this task because it feels boring,0,0,1,0,0
I delay work because my surroundings are distracting,0,0,0,1,0
I hesitate to begin because I might fail,0,1,0,0,0
I postpone work until I feel fully prepared,1,0,0,0,0
I postpone assignments that feel dull,0,0,1,0,0
I keep avoiding this task because it feels boring,0,0,1,0,0
I delay tasks because my workspace is chaotic,0,0,0,1,0
I delay tasks when I feel uncertain about success,0,1,0,0,0
I avoid challenging work because I might fail,0,1,0,0,0
I avoid starting tasks that might expose my weaknesses,0,1,0,0,0
I avoid starting because failure feels embarrassing,0,1,0,0,0
I get interrupted by messages while working,0,0,0,1,0
I get distracted by people around me,0,0,0,1,0
I hesitate to begin because I might fail,0,1,0,0,0
I would rather watch videos than work,0,0,0,0,1
I get pulled into social media instead of working,0,0,0,0,1
I delay tasks because I want them to be done perfectly,1,0,0,0,0
I delay tasks because my workspace is chaotic,0,0,0,1,0
I avoid starting because failure feels embarrassing,0,1,0,0,0
I get interrupted by messages while working,0,0,0,1,0
I get distracted by my phone notifications,0,0,0,1,0
I keep checking my phone instead of working,0,0,0,1,0
I keep avoiding this task because it feels boring,0,0,1,0,0
I avoid starting because I fear it won't meet my standards,1,0,0,0,0
I postpone work to play games,0,0,0,0,1
I hesitate to begin because I want everything to be flawless,1,0,0,0,0
I struggle to concentrate due to digital distractions,0,0,0,1,0
I delay work because my surroundings are distracting,0,0,0,1,0
I keep scrolling social media instead of doing the task,0,0,0,0,1
I delay work to watch another episode,0,0,0,0,1
I get interrupted by messages while working,0,0,0,1,0
I procrastinate when I think I may disappoint others,0,1,0,0,0
I delay tasks because I want them to be done perfectly,1,0,0,0,0
I postpone assignments that feel dull,0,0,1,0,0
I avoid starting because failure feels embarrassing,0,1,0,0,0
I delay tasks because I want them to be done perfectly,1,0,0,0,0
I delay work to watch another episode,0,0,0,0,1
I hesitate to begin because I might fail,0,1,0,0,0
I procrastinate when I think I may disappoint others,0,1,0,0,0
I would rather watch videos than work,0,0,0,0,1
I delay tasks because I want them to be done perfectly,1,0,0,0,0
I struggle to concentrate due to digital distractions,0,0,0,1,0
I get distracted by people around me,0,0,0,1,0
I procrastinate when the topic does not excite me,0,0,1,0,0
I delay work to watch another episode,0,0,0,0,1
I put off work that does not motivate me,0,0,1,0,0
I keep checking short videos instead of focusing,0,0,0,0,1
I wait for the perfect moment before starting work,1,0,0,0,0
I get distracted by my phone notifications,0,0,0,1,0
I avoid tasks that seem repetitive and uninteresting,0,0,1,0,0
I avoid starting because I fear it won't meet my standards,1,0,0,0,0
