text,label
I am excited about my plans,0
I feel relaxed and peaceful,0
I feel empty and tired all the time,1
I feel very sad and alone,1
Everything feels heavy and exhausting,1
I feel disconnected from people,1
Getting out of bed feels difficult,1
I am feeling confident and positive,0
I feel happy and energetic today,0
Life feels meaningless lately,1
I feel hopeless about my future,1
I feel motivated to complete my tasks,0
Nothing excites me anymore,1
Today was a productive day,0
I feel calm and satisfied today,0
I feel optimistic about the future,0
