text,label
I feel disconnected from people,1
I am excited about my plans,0
Everything feels heavy and exhausting,1
I feel optimistic about the future,0
I struggle to find motivation every day,1
I feel happy and energetic today,0
I feel very sad and alone,1
Today was a productive day,0
I am feeling confident and positive,0
Nothing excites me anymore,1
I feel like giving up sometimes,1
I feel motivated to complete my tasks,0
Life feels meaningless lately,1
Life feels good right now,0
I feel empty and tired all the time,1
I feel hopeless about my future,1
I enjoyed spending time with friends,0
I feel relaxed and peaceful,0
I feel calm and satisfied today,0
Getting out of bed feels difficult,1
