text,label
I am peaceful and focused,0
I feel relaxed and happy,0
My mind keeps racing at night,1
I feel overwhelmed by responsibilities,1
I feel nervous about tomorrow,1
I overthink everything lately,1
I worry even when things are fine,1
I feel relaxed after meditation,0
I feel confident about my work,0
My heart races before meetings,1
I feel tense and uneasy,1
I am comfortable with my schedule,0
I feel stressed thinking about the future,1
I feel calm and relaxed today,0
I feel peaceful and in control,0
My mind feels clear today,0
